,code_site,code_station,grandeur_hydro,date_debut_serie,date_fin_serie,statut_serie,code_systeme_alti_serie,date_obs,resultat_obs,code_methode_obs,libelle_methode_obs,code_qualification_obs,libelle_qualification_obs,continuite_obs_hydro,longitude,latitude
0,L8000010,L800001020,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,1921.0,0,Mesure,16,Non qualifiée,True,-0.075428626,47.262418207
1,L8000010,L800001020,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,1280000.0,12,Interpolation,16,Non qualifiée,True,-0.075428626,47.262418207
2,L8000010,L800001030,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,2077.0,0,Mesure,16,Non qualifiée,True,0.062725437,47.21563207
3,L8700010,L870001020,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,2497.0,0,Mesure,16,Non qualifiée,True,-0.230904781,47.345018049
4,M5014210,M501421020,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,834.0,0,Mesure,16,Non qualifiée,True,-0.509225007,47.375686585
5,M5014210,M501421020,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,849.0,12,Interpolation,16,Non qualifiée,True,-0.509225007,47.375686585
6,M5102010,M510201010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,899.0,0,Mesure,16,Non qualifiée,True,-0.374479334,47.19299553
7,M5102010,M510201010,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,2260.0,12,Interpolation,16,Non qualifiée,True,-0.374479334,47.19299553
8,M5124310,M512431010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,474.0,0,Mesure,16,Non qualifiée,True,-0.481930752,47.223633643
9,M5214010,M521401020,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,653.0,0,Mesure,16,Non qualifiée,True,-0.621667188,47.302060918
10,M5214010,M521401020,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,1860.0,12,Interpolation,12,Douteuse,True,-0.621667188,47.302060918
11,M5222010,M522201010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,986.0,0,Mesure,16,Non qualifiée,True,-0.632160202,47.316359144
12,M5222010,M522201010,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,6780.0,12,Interpolation,12,Douteuse,True,-0.632160202,47.316359144
13,M7005610,M700561010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,369.0,0,Mesure,16,Non qualifiée,True,-0.555234501,46.701244389
14,M7005610,M700561010,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,2000.0,12,Interpolation,16,Non qualifiée,True,-0.555234501,46.701244389
15,M7022410,M702241010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,1552.0,0,Mesure,16,Non qualifiée,True,-0.700056248,46.810942065
16,M7022410,M702241010,Q,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,11400.0,12,Interpolation,16,Non qualifiée,True,-0.700056248,46.810942065
17,M7032430,M703243010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,779.0,0,Mesure,16,Non qualifiée,True,-0.888052612,46.959047727
18,M7044010,M704401010,H,2023-11-19T00:10:00Z,2023-11-19T13:00:00Z,4,31,2023-11-19T13:00:00Z,453.0,0,Mesure,16,Non qualifiée,True,-0.799835502,46.964018371
